symbol,exchange,security_id
ADANIENT,NSE_EQ,
ADANIPORTS,NSE_EQ,
APOLLOHOSP,NSE_EQ,
ASIANPAINT,NSE_EQ,
AXISBANK,NSE_EQ,
BAJAJ-AUTO,NSE_EQ,
BAJFINANCE,NSE_EQ,
BAJAJFINSV,NSE_EQ,
BPCL,NSE_EQ,
BHARTIARTL,NSE_EQ,
BRITANNIA,NSE_EQ,
CIPLA,NSE_EQ,
COALINDIA,NSE_EQ,
DIVISLAB,NSE_EQ,
DRREDDY,NSE_EQ,
EICHERMOT,NSE_EQ,
GRASIM,NSE_EQ,
HCLTECH,NSE_EQ,
HDFCBANK,NSE_EQ,
HDFCLIFE,NSE_EQ,
HEROMOTOCO,NSE_EQ,
HINDALCO,NSE_EQ,
HINDUNILVR,NSE_EQ,
ICICIBANK,NSE_EQ,
ITC,NSE_EQ,
INDUSINDBK,NSE_EQ,
INFY,NSE_EQ,
JSWSTEEL,NSE_EQ,
KOTAKBANK,NSE_EQ,
LT,NSE_EQ,
M&M,NSE_EQ,
MARUTI,NSE_EQ,
NTPC,NSE_EQ,
NESTLEIND,NSE_EQ,
ONGC,NSE_EQ,
POWERGRID,NSE_EQ,
RELIANCE,NSE_EQ,
SBILIFE,NSE_EQ,
SHRIRAMFIN,NSE_EQ,
SBIN,NSE_EQ,
SUNPHARMA,NSE_EQ,
TCS,NSE_EQ,
TATACONSUM,NSE_EQ,
TATAMOTORS,NSE_EQ,
TATASTEEL,NSE_EQ,
TECHM,NSE_EQ,
TITAN,NSE_EQ,
ULTRACEMCO,NSE_EQ,
WIPRO,NSE_EQ,
LTIM,NSE_EQ,
